iter	Passed	Remaining
0	50	50857
1	51	25623
2	51	17207
3	52	13025
4	52	10502
5	53	8813
6	53	7600
7	53	6692
8	54	5991
9	54	5424
10	55	4970
11	55	4586
12	56	4260
13	56	3980
14	56	3738
15	57	3523
16	57	3335
17	58	3168
18	58	3016
19	58	2882
20	59	2764
21	59	2654
22	60	2553
23	60	2462
24	61	2379
25	61	2301
26	61	2226
27	62	2160
28	62	2096
29	62	2036
30	63	1980
31	63	1930
32	64	1880
33	64	1835
34	64	1791
35	65	1751
36	65	1711
37	66	1674
38	66	1638
39	66	1605
40	67	1573
41	67	1543
42	68	1514
43	68	1485
44	68	1459
45	69	1433
46	69	1408
47	69	1385
48	70	1363
49	70	1343
50	71	1323
51	71	1303
52	71	1282
53	72	1265
54	72	1247
55	72	1229
56	73	1213
57	73	1197
58	74	1181
59	74	1166
60	74	1150
61	75	1136
62	75	1123
63	75	1110
64	76	1097
65	76	1085
66	77	1073
67	77	1058
68	77	1047
69	78	1036
70	78	1025
71	78	1015
72	79	1004
73	79	994
74	79	984
75	80	975
76	80	965
77	80	956
78	81	947
79	81	938
80	82	930
81	82	924
82	82	916
83	83	910
84	83	900
85	84	893
86	84	884
87	84	878
88	85	871
89	85	864
90	85	857
91	86	850
92	86	843
93	86	837
94	87	831
95	87	825
96	87	819
97	88	813
98	88	807
99	89	802
100	89	796
101	89	789
102	90	784
103	90	778
104	90	773
105	91	768
106	91	763
107	91	758
108	92	753
109	92	748
110	92	743
111	93	739
112	93	734
113	93	730
114	94	725
115	94	720
116	94	716
117	95	712
118	95	707
119	95	702
120	96	698
121	96	694
122	96	689
123	97	685
124	97	682
125	97	678
126	98	674
127	98	670
128	98	666
129	99	663
130	99	660
131	99	657
132	100	654
133	100	651
134	101	648
135	101	645
136	101	641
137	102	638
138	102	635
139	102	632
140	103	629
141	103	626
142	104	623
143	104	620
144	104	617
145	105	615
146	105	612
147	105	609
148	106	607
149	106	604
150	107	602
151	107	599
152	107	597
153	108	594
154	108	592
155	109	589
156	109	587
157	109	584
158	110	582
159	110	579
160	110	577
161	111	575
162	111	573
163	111	570
164	112	568
165	112	566
166	113	564
167	113	562
168	114	560
169	114	559
170	114	556
171	115	554
172	115	552
173	116	550
174	116	548
175	116	546
176	117	544
177	117	542
178	117	540
179	118	538
180	118	536
181	118	534
182	119	532
183	119	530
184	119	528
185	120	526
186	120	525
187	121	523
188	121	521
189	121	519
190	122	517
191	122	515
192	122	514
193	123	512
194	123	510
195	124	508
196	124	507
197	124	505
198	125	504
199	125	502
200	126	501
201	126	499
202	126	498
203	127	497
204	127	495
205	128	493
206	128	492
207	128	490
208	129	489
209	129	487
210	130	486
211	130	484
212	130	483
213	131	481
214	131	480
215	131	478
216	132	477
217	132	475
218	133	474
219	133	472
220	133	471
221	134	469
222	134	468
223	134	467
224	135	465
225	135	464
226	135	462
227	136	461
228	136	460
229	136	458
230	137	457
231	137	456
232	138	454
233	138	453
234	138	451
235	139	450
236	139	449
237	140	448
238	140	447
239	140	446
240	141	445
241	141	444
242	142	443
243	142	442
244	143	441
245	143	440
246	144	439
247	144	438
248	144	436
249	145	435
250	145	434
251	145	433
252	146	431
253	146	430
254	146	429
255	147	428
256	147	427
257	148	426
258	148	424
259	148	423
260	149	422
261	149	421
262	149	420
263	150	419
264	150	418
265	151	417
266	151	416
267	152	415
268	152	414
269	152	413
270	153	411
271	153	410
272	153	409
273	154	408
274	154	407
275	154	406
276	155	405
277	155	404
278	156	403
279	156	402
280	156	401
281	157	400
282	157	399
283	157	398
284	158	397
285	158	395
286	158	394
287	159	393
288	159	392
289	160	391
290	160	390
291	160	390
292	161	389
293	161	387
294	161	387
295	162	386
296	162	385
297	163	384
298	163	383
299	163	382
300	164	381
301	164	380
302	164	379
303	165	378
304	165	377
305	166	376
306	166	375
307	166	374
308	167	373
309	167	372
310	167	371
311	168	371
312	168	370
313	169	369
314	169	368
315	170	368
316	170	367
317	171	366
318	171	366
319	172	365
320	172	365
321	173	364
322	173	363
323	173	362
324	174	361
325	174	360
326	174	359
327	175	358
328	175	358
329	175	357
330	176	356
331	176	355
332	177	354
333	177	354
334	178	353
335	178	352
336	178	352
337	179	351
338	179	350
339	180	349
340	180	348
341	180	348
342	181	347
343	181	346
344	182	345
345	182	344
346	182	344
347	183	343
348	183	342
349	183	341
350	184	340
351	184	339
352	185	339
353	185	338
354	185	337
355	186	337
356	186	336
357	187	335
358	187	334
359	187	333
360	188	333
361	188	332
362	188	331
363	189	330
364	189	330
365	190	329
366	190	328
367	190	327
368	191	326
369	191	325
370	191	325
371	192	324
372	192	323
373	192	322
374	193	322
375	193	321
376	193	320
377	194	319
378	194	318
379	194	317
380	194	316
381	195	315
382	195	315
383	195	314
384	196	313
385	196	312
386	196	311
387	196	310
388	197	309
389	197	308
390	197	308
391	198	307
392	198	306
393	198	305
394	199	304
395	199	304
396	200	303
397	200	303
398	200	302
399	201	302
400	201	301
401	202	300
402	202	300
403	202	299
404	203	298
405	203	298
406	204	297
407	204	296
408	204	295
